NACA 0012 buffer (rustfoil naca4, nside=123) — regenerate: cargo run -p rustfoil-core --example gen_spline_fixtures
  0.02051766  0.02387827
  0.01753410  0.02219913
  0.01477672  0.02049198
  0.01224776  0.01875742
  0.00994942  0.01699600
  0.00788390  0.01520823
  0.00605338  0.01339458
  0.00446003  0.01155544
  0.00310599  0.00969116
  0.00199342  0.00780201
  0.00112443  0.00588821
  0.00050113  0.00394991
  0.00012563  0.00198717
  0.00000000  0.00000000
  0.00012563  -0.00198717
  0.00050113  -0.00394991
  0.00112443  -0.00588821
  0.00199342  -0.00780201
  0.00310599  -0.00969116
  0.00446003  -0.01155544
  0.00605338  -0.01339458
  0.00788390  -0.01520823
  0.00994942  -0.01699600
  0.01224776  -0.01875742
  0.01477672  -0.02049198
  0.01753410  -0.02219913
  0.02051766  -0.02387827
  0.02372517  -0.02552875
  0.02715436  -0.02714990
  0.03080296  -0.02874101
  0.03466869  -0.03030134
  0.03874923  -0.03183013
  0.04304226  -0.03332661
  0.04754543  -0.03478997
  0.05225639  -0.03621942
  0.05717276  -0.03761414
  0.06229214  -0.03897332
  0.06761211  -0.04029614
  0.07313024  -0.04158180
  0.07884408  -0.04282950
  0.08475114  -0.04403844
  0.09084894  -0.04520787
  0.09713494  -0.04633703
  0.10360663  -0.04742519
  0.11026143  -0.04847166
  0.11709676  -0.04947575
  0.12411002  -0.05043684
  0.13129857  -0.05135432
  0.13865977  -0.05222761
  0.14619092  -0.05305620
  0.15388933  -0.05383959
  0.16175228  -0.05457735
  0.16977699  -0.05526908
  0.17796068  -0.05591443
  0.18630055  -0.05651309
  0.19479376  -0.05706482
  0.20343743  -0.05756941
  0.21222866  -0.05802673
  0.22116452  -0.05843666
  0.23024206  -0.05879917
  0.23945826  -0.05911426
  0.24881011  -0.05938199
  0.25829454  -0.05960248
  0.26790845  -0.05977589
  0.27764870  -0.05990243
  0.28751212  -0.05998238
  0.29749550  -0.06001604
  0.30759558  -0.06000379
  0.31780907  -0.05994603
  0.32813263  -0.05984322
  0.33856289  -0.05969588
  0.34909640  -0.05950453
